dim,mpi_proc,omp_threads,time
10000,1,1,34.130266
10000,1,1,33.982260
10000,1,1,34.017502
10000,1,1,34.003293
10000,1,1,33.981669
10000,1,2,17.400121
10000,1,2,17.279400
10000,1,2,17.268440
10000,1,2,17.259893
10000,1,2,17.280544
10000,1,4,8.697188
10000,1,4,8.715517
10000,1,4,8.706469
10000,1,4,8.707807
10000,1,4,8.712549
10000,1,6,5.843159
10000,1,6,5.856012
10000,1,6,5.862420
10000,1,6,5.864884
10000,1,6,5.855712
10000,1,8,4.466924
10000,1,8,4.456615
10000,1,8,4.461197
10000,1,8,4.454972
10000,1,8,4.469873
10000,1,10,3.561561
10000,1,10,3.586041
10000,1,10,3.581532
10000,1,10,3.571833
10000,1,10,3.581318
10000,1,12,2.993309
10000,1,12,2.997460
10000,1,12,2.998737
10000,1,12,3.000248
10000,1,12,3.006068
10000,1,16,2.287118
10000,1,16,2.297682
10000,1,16,2.292433
10000,1,16,2.293811
10000,1,16,2.294811
10000,1,20,1.860806
10000,1,20,1.897727
10000,1,20,1.866668
10000,1,20,1.870453
10000,1,20,1.867161
10000,1,24,1.577914
10000,1,24,1.591981
10000,1,24,1.666989
10000,1,24,1.584179
10000,1,24,1.589205
10000,1,28,1.374081
10000,1,28,1.383476
10000,1,28,1.381600
10000,1,28,1.380243
10000,1,28,1.384151
10000,1,32,1.217342
10000,1,32,1.229727
10000,1,32,1.231626
10000,1,32,1.229907
10000,1,32,1.225703
10000,1,36,1.097287
10000,1,36,1.109847
10000,1,36,1.108561
10000,1,36,1.108270
10000,1,36,1.106417
10000,1,40,1.005904
10000,1,40,1.010712
10000,1,40,1.013457
10000,1,40,1.025087
10000,1,40,1.016395
10000,1,44,0.929323
10000,1,44,0.934592
10000,1,44,0.937487
10000,1,44,0.933663
10000,1,44,0.935870
10000,1,48,0.863852
10000,1,48,0.867358
10000,1,48,0.870689
10000,1,48,0.904439
10000,1,48,0.869391
10000,1,52,0.811196
10000,1,52,0.813146
10000,1,52,0.827477
10000,1,52,0.819120
10000,1,52,0.813288
10000,1,56,0.757037
10000,1,56,0.766092
10000,1,56,0.766562
10000,1,56,0.765778
10000,1,56,0.771989
10000,1,60,0.710444
10000,1,60,0.717532
10000,1,60,0.750197
10000,1,60,0.720531
10000,1,60,0.736269
10000,1,64,0.673207
10000,1,64,0.698036
10000,1,64,0.685715
10000,1,64,0.687018
10000,1,64,0.686684
14143,2,1,33.685326
14143,2,1,32.933046
14143,2,1,32.564953
14143,2,1,32.750931
14143,2,1,32.536251
14143,2,2,16.638335
14143,2,2,16.507890
14143,2,2,16.502615
14143,2,2,16.617749
14143,2,2,16.651734
14143,2,4,8.322535
14143,2,4,8.341404
14143,2,4,8.448405
14143,2,4,8.328907
14143,2,4,8.393554
14143,2,6,5.611065
14143,2,6,5.791568
14143,2,6,5.629916
14143,2,6,5.618253
14143,2,6,5.850009
14143,2,8,4.322757
14143,2,8,4.312225
14143,2,8,4.302189
14143,2,8,4.294647
14143,2,8,4.315140
14143,2,10,3.423334
14143,2,10,3.630217
14143,2,10,3.443699
14143,2,10,3.486592
14143,2,10,3.457253
14143,2,12,2.877293
14143,2,12,2.910262
14143,2,12,2.939202
14143,2,12,2.992161
14143,2,12,2.902349
14143,2,16,2.249892
14143,2,16,2.229232
14143,2,16,2.227362
14143,2,16,2.453976
14143,2,16,2.215420
14143,2,20,1.839382
14143,2,20,1.885953
14143,2,20,1.829936
14143,2,20,1.822035
14143,2,20,1.810518
14143,2,24,1.538459
14143,2,24,1.812881
14143,2,24,1.568731
14143,2,24,1.770981
14143,2,24,1.759698
14143,2,28,1.421090
14143,2,28,1.389304
14143,2,28,1.410424
14143,2,28,1.350109
14143,2,28,1.468998
14143,2,32,1.196380
14143,2,32,1.434823
14143,2,32,1.332515
14143,2,32,1.207333
14143,2,32,1.242515
14143,2,36,1.065185
14143,2,36,1.096503
14143,2,36,1.092286
14143,2,36,1.222910
14143,2,36,1.227206
14143,2,40,0.985543
14143,2,40,1.203770
14143,2,40,1.004475
14143,2,40,0.993136
14143,2,40,0.992944
14143,2,44,0.934361
14143,2,44,0.925615
14143,2,44,0.916836
14143,2,44,0.921882
14143,2,44,1.000122
14143,2,48,0.844694
14143,2,48,1.104991
14143,2,48,0.853137
14143,2,48,0.855660
14143,2,48,0.973056
14143,2,52,0.837585
14143,2,52,0.813269
14143,2,52,0.813830
14143,2,52,0.894478
14143,2,52,0.810116
14143,2,56,0.756534
14143,2,56,0.763169
14143,2,56,0.785422
14143,2,56,0.759631
14143,2,56,0.765983
14143,2,60,0.720662
14143,2,60,0.731319
14143,2,60,0.849519
14143,2,60,0.719098
14143,2,60,0.712132
14143,2,64,0.974553
14143,2,64,0.730862
14143,2,64,0.672330
14143,2,64,0.688009
14143,2,64,0.713947
17321,3,1,33.182392
17321,3,1,31.917775
17321,3,1,31.826410
17321,3,1,32.193970
17321,3,1,32.026388
17321,3,2,16.552987
17321,3,2,16.356566
17321,3,2,16.422768
17321,3,2,16.219235
17321,3,2,16.244217
17321,3,4,8.304818
17321,3,4,8.309683
17321,3,4,8.315395
17321,3,4,8.322576
17321,3,4,8.300677
17321,3,6,5.588386
17321,3,6,5.594959
17321,3,6,5.616834
17321,3,6,5.608412
17321,3,6,5.601863
17321,3,8,4.277243
17321,3,8,4.308677
17321,3,8,4.288109
17321,3,8,4.304814
17321,3,8,4.478593
17321,3,10,3.424061
17321,3,10,3.591336
17321,3,10,3.445055
17321,3,10,3.431993
17321,3,10,3.428028
17321,3,12,3.041597
17321,3,12,2.906302
17321,3,12,3.056067
17321,3,12,2.891590
17321,3,12,2.886844
17321,3,16,2.198944
17321,3,16,2.333913
17321,3,16,2.307917
17321,3,16,2.207352
17321,3,16,2.212639
17321,3,20,1.808200
17321,3,20,1.870685
17321,3,20,1.939783
17321,3,20,1.988705
17321,3,20,1.832038
17321,3,24,1.536441
17321,3,24,1.537869
17321,3,24,1.559716
17321,3,24,1.628574
17321,3,24,1.549533
17321,3,28,1.335974
17321,3,28,1.377532
17321,3,28,1.402439
17321,3,28,1.548921
17321,3,28,1.434581
17321,3,32,1.197987
17321,3,32,1.200999
17321,3,32,1.207170
17321,3,32,1.211230
17321,3,32,1.273763
17321,3,36,1.100348
17321,3,36,1.105788
17321,3,36,1.095581
17321,3,36,1.096593
17321,3,36,1.127770
17321,3,40,0.999334
17321,3,40,1.018609
17321,3,40,1.143416
17321,3,40,1.020786
17321,3,40,1.005547
17321,3,44,0.971767
17321,3,44,0.957519
17321,3,44,0.935724
17321,3,44,0.950574
17321,3,44,0.962547
17321,3,48,0.886573
17321,3,48,0.867181
17321,3,48,0.878727
17321,3,48,1.076921
17321,3,48,0.989532
17321,3,52,0.875023
17321,3,52,0.854723
17321,3,52,0.832914
17321,3,52,0.848734
17321,3,52,1.056147
17321,3,56,0.753069
17321,3,56,0.786231
17321,3,56,0.769340
17321,3,56,0.788579
17321,3,56,0.779097
17321,3,60,0.811275
17321,3,60,0.775411
17321,3,60,0.767427
17321,3,60,0.793620
17321,3,60,0.994819
17321,3,64,0.750980
17321,3,64,0.716036
17321,3,64,0.713274
17321,3,64,0.694405
17321,3,64,0.695468
20000,4,1,34.120639
20000,4,1,33.096545
20000,4,1,33.090938
20000,4,1,33.003510
20000,4,1,33.004852
20000,4,2,16.886258
20000,4,2,16.695392
20000,4,2,16.960087
20000,4,2,16.704271
20000,4,2,16.712048
20000,4,4,8.543948
20000,4,4,8.546410
20000,4,4,8.560734
20000,4,4,8.734504
20000,4,4,8.638193
20000,4,6,5.760256
20000,4,6,5.898700
20000,4,6,5.816306
20000,4,6,5.807074
20000,4,6,5.855097
20000,4,8,4.409705
20000,4,8,4.659649
20000,4,8,4.430276
20000,4,8,4.457870
20000,4,8,4.428849
20000,4,10,3.536657
20000,4,10,3.612136
20000,4,10,3.542421
20000,4,10,3.718452
20000,4,10,3.545800
20000,4,12,2.991811
20000,4,12,3.115283
20000,4,12,3.097308
20000,4,12,3.107089
20000,4,12,3.114312
20000,4,16,2.470821
20000,4,16,2.503651
20000,4,16,2.297986
20000,4,16,2.330972
20000,4,16,2.301513
20000,4,20,1.877767
20000,4,20,1.900739
20000,4,20,1.940304
20000,4,20,2.028720
20000,4,20,2.134135
20000,4,24,1.590661
20000,4,24,1.732381
20000,4,24,1.604350
20000,4,24,1.619198
20000,4,24,1.612701
20000,4,28,1.571906
20000,4,28,1.408386
20000,4,28,1.577036
20000,4,28,1.421057
20000,4,28,1.407501
20000,4,32,1.271963
20000,4,32,1.293476
20000,4,32,1.258675
20000,4,32,1.537766
20000,4,32,1.330712
20000,4,36,1.137248
20000,4,36,1.158047
20000,4,36,1.165876
20000,4,36,1.147571
20000,4,36,1.253243
20000,4,40,1.037211
20000,4,40,1.081337
20000,4,40,1.148000
20000,4,40,1.085796
20000,4,40,1.343058
20000,4,44,0.971910
20000,4,44,0.994084
20000,4,44,0.981774
20000,4,44,0.997608
20000,4,44,1.002460
20000,4,48,1.047177
20000,4,48,0.984537
20000,4,48,0.920707
20000,4,48,1.173178
20000,4,48,0.966252
20000,4,52,0.897438
20000,4,52,1.035254
20000,4,52,0.868397
20000,4,52,1.031847
20000,4,52,1.081899
20000,4,56,1.021760
20000,4,56,0.858830
20000,4,56,0.940086
20000,4,56,0.943068
20000,4,56,0.836527
20000,4,60,1.011355
20000,4,60,0.770984
20000,4,60,0.779195
20000,4,60,0.809591
20000,4,60,0.993300
20000,4,64,0.977544
20000,4,64,0.773140
20000,4,64,1.023499
20000,4,64,0.770254
20000,4,64,0.944778
22361,5,1,33.330348
22361,5,1,32.076464
22361,5,1,32.207221
22361,5,1,32.214624
22361,5,1,32.125104
22361,5,2,16.604933
22361,5,2,16.277496
22361,5,2,16.523009
22361,5,2,16.508942
22361,5,2,16.277047
22361,5,4,8.337442
22361,5,4,8.353952
22361,5,4,8.359725
22361,5,4,8.350604
22361,5,4,8.379586
22361,5,6,5.629245
22361,5,6,5.954693
22361,5,6,5.654847
22361,5,6,5.766010
22361,5,6,5.634035
22361,5,8,4.384309
22361,5,8,4.324820
22361,5,8,4.415398
22361,5,8,4.349713
22361,5,8,4.337511
22361,5,10,3.619008
22361,5,10,3.492740
22361,5,10,3.566660
22361,5,10,3.487136
22361,5,10,3.486499
22361,5,12,2.919569
22361,5,12,2.996445
22361,5,12,3.023030
22361,5,12,2.937043
22361,5,12,2.947286
22361,5,16,2.379593
22361,5,16,2.304367
22361,5,16,2.250632
22361,5,16,2.443581
22361,5,16,2.274440
22361,5,20,1.850421
22361,5,20,2.050798
22361,5,20,1.940015
22361,5,20,1.871017
22361,5,20,1.887804
22361,5,24,1.615274
22361,5,24,1.914135
22361,5,24,1.729012
22361,5,24,1.592385
22361,5,24,1.608113
22361,5,28,1.526053
22361,5,28,1.641872
22361,5,28,1.399782
22361,5,28,1.417259
22361,5,28,1.390447
22361,5,32,1.433603
22361,5,32,1.433998
22361,5,32,1.292730
22361,5,32,1.385474
22361,5,32,1.271987
22361,5,36,1.114139
22361,5,36,1.276000
22361,5,36,1.154714
22361,5,36,1.138846
22361,5,36,1.344272
22361,5,40,1.119363
22361,5,40,1.162300
22361,5,40,1.126755
22361,5,40,1.141246
22361,5,40,1.088652
22361,5,44,1.146344
22361,5,44,0.968483
22361,5,44,0.981152
22361,5,44,1.068114
22361,5,44,0.969889
22361,5,48,0.909340
22361,5,48,0.982980
22361,5,48,0.925113
22361,5,48,0.964965
22361,5,48,0.916892
22361,5,52,0.846162
22361,5,52,0.866887
22361,5,52,0.848934
22361,5,52,0.968820
22361,5,52,0.847807
22361,5,56,0.901423
22361,5,56,0.933037
22361,5,56,0.932613
22361,5,56,0.808403
22361,5,56,0.822677
22361,5,60,0.764513
22361,5,60,0.778350
22361,5,60,0.816376
22361,5,60,0.889840
22361,5,60,0.789272
22361,5,64,0.775897
22361,5,64,0.881330
22361,5,64,0.758190
22361,5,64,0.801813
22361,5,64,0.778832
24495,6,1,34.765098
24495,6,1,33.184962
24495,6,1,33.282867
24495,6,1,33.337633
24495,6,1,33.192001
24495,6,2,17.092669
24495,6,2,16.734843
24495,6,2,16.721061
24495,6,2,16.735389
24495,6,2,16.768490
24495,6,4,8.749371
24495,6,4,8.582439
24495,6,4,8.617159
24495,6,4,8.626955
24495,6,4,8.621255
24495,6,6,5.796977
24495,6,6,5.882105
24495,6,6,5.816689
24495,6,6,5.917257
24495,6,6,5.798100
24495,6,8,4.525392
24495,6,8,4.473018
24495,6,8,4.588336
24495,6,8,4.460567
24495,6,8,4.452687
24495,6,10,3.683656
24495,6,10,3.595157
24495,6,10,3.577983
24495,6,10,3.587627
24495,6,10,3.559051
24495,6,12,2.999993
24495,6,12,3.018734
24495,6,12,3.194846
24495,6,12,3.018652
24495,6,12,3.234758
24495,6,16,2.312767
24495,6,16,2.562290
24495,6,16,2.684080
24495,6,16,2.339122
24495,6,16,2.561744
24495,6,20,1.911585
24495,6,20,2.184122
24495,6,20,2.047883
24495,6,20,1.973309
24495,6,20,1.958951
24495,6,24,1.638903
24495,6,24,1.822282
24495,6,24,1.838804
24495,6,24,1.633090
24495,6,24,1.687078
24495,6,28,1.432282
24495,6,28,1.553932
24495,6,28,1.582415
24495,6,28,1.442007
24495,6,28,1.431515
24495,6,32,1.304187
24495,6,32,1.298070
24495,6,32,1.279192
24495,6,32,1.315823
24495,6,32,1.563714
24495,6,36,1.265928
24495,6,36,1.667647
24495,6,36,1.625822
24495,6,36,2.374826
24495,6,36,1.282511
24495,6,40,1.087848
24495,6,40,1.073215
24495,6,40,1.293112
24495,6,40,1.331843
24495,6,40,1.097874
24495,6,44,0.985034
24495,6,44,1.078525
24495,6,44,1.000570
24495,6,44,1.164513
24495,6,44,1.298284
24495,6,48,0.963008
24495,6,48,1.006969
24495,6,48,1.002404
24495,6,48,1.104361
24495,6,48,1.097749
24495,6,52,1.014950
24495,6,52,0.896767
24495,6,52,0.876787
24495,6,52,0.880905
24495,6,52,0.878386
24495,6,56,0.848099
24495,6,56,0.841827
24495,6,56,0.862844
24495,6,56,0.895951
24495,6,56,0.847104
24495,6,60,0.946214
24495,6,60,0.812896
24495,6,60,0.906938
24495,6,60,0.818135
24495,6,60,0.820499
24495,6,64,0.867024
24495,6,64,0.782394
24495,6,64,0.895269
24495,6,64,0.772422
24495,6,64,0.774145
